Dominio,Descripcion,Ambito,Pregunta,Respuesta
Naturaleza,,FISICA,"Distinción: Fuerza - Poder
","El poder es el fin. la fuerza es el comienzo. Poder
es algo que ganamos. Fuerza genera movimiento.
El poder está relacionado con los títulos. posesiones
o propiedades que adquirimos al finalizar un juego.
Mientras que la fuerza se relaciona con 
habilidades y herramientas. es lo que nos
permite arrancar procesos. En este sentido la
fuerza es infinita ya que es un acto de apertura.
Y el poder es algo finito que solo existe cuando
se acaba el juego. es un acto de clausura.

El poder está relacionado con lo que puedo hacer
dentro de unos límites; 
la fuerza con lo que puedo hacer con los límites.
El poder tiene que ver con lo que ya pasó.
Fuerza con lo que va a pasar.

Si quiero acabar. juego para ser poderoso.
Si prefiero seguir jugando. debo jugar con fuerza.

Es preferible fortalecer que empoderar.
Queremos mover. iniciar. generar cambio. 
jugar juegos infinitos.
Las fuerzas comienzan. el poder acaba."
Naturaleza,,FISICA,"Pozo de agua helada
","Un pozo de agua helada es un llamado a la aventura.
Saltar al agua helada es salir de la zona de confort.
Es entrar en el mundo de la aventura.
En un comienzo paraliza. 
luego todo empieza a circular.
Aparecen sensaciones. cosquillas y algo de calor.

Dificultad para moverse. y para hablar.
Al salir he cambiado. superado un desafío.
y mi cuerpo ahora es más fuerte.
Ahora soy otro. maestro de ambos mundos.
Volver a saltar ahora es fácil."
Naturaleza,,FISICA,Somos ciudad,"Hablamos de la ciudad 
como si no fuéramos parte de ella.
Si yo digo que Bogotá está una mierda. 
yo estoy una mierda.
Somos ciudad. no nos insultemos.
La palabra es poderosa.

Una ciudad incluye a sus habitantes. 
perros. gatos. plantas. árboles. 
hongos. bacterias. humanos de infinitos géneros.
aves. ratas. ranas. moscos. edificios. casas. 
puentes. postes. luces. semáforos.
peces. ríos. centros comerciales. calles.
Y te incluye a ti. seas turista o residente. 
Y eso te hace ciudad.
Tú eres la ciudad en la que te encuentras.
Sé la que quieres ser.
No hables mal de tu ciudad. de ti. de tus hermanos.
La palabra es poderosa."
Naturaleza,,FISICA,"Física para crear","Cuatro principios para entender
que tú eres el creador:

1. Es solo hasta que observas el sistema que
este toma un estado. Antes de observar existe la
posibilidad. que además se expande con el tiempo.
y es en el momento de la observación que la
posibilidad colapsa (Ecuación de Schrodringer).

2. Yo observo una cosa y tú observas otra.
Dependiendo de nuestro estado vamos a observar
diferentes fenómenos (Teoría de la Relatividad).

3. Es imposible conocer el estado exacto de algo.
Siempre habrá una incertidumbre. Si yo trato de ver
la posición. no puedo saber cuál es la velocidad. y
viceversa (Principio de incertidumbre de Heisenberg).

4. Yo soy parte del sistema. 
Es imposible observar un sistema sin intervenir. 
Todo intento de observación afecta el sistema.

El observador es el que crea. 
Tú eres el observador. Ten cuidado cómo observas."
Naturaleza,,FISICA,Los gatos se teleportan,"No tiene sentido tratar de contener un gato.
Los gatos se teleportan.
Algo que uno puede hacer es enseñarle el camino de retorno a casa.
Dar cariño y comida."
Naturaleza,,FISICA,Fuerzas,"Hay fuerzas que atraen.
Hay fuerzas que repelen.
Las fuerzas que atraen actúan 
en distancias más largas.
Las fuerzas que repelen actúan 
en distancias más cortas.
O por lo menos eso vemos.

Nos acercamos a las cosas. pero no tanto.
Nunca nos tocamos.
Aunque sí creamos relaciones.

Pasar cerca cambia mi trayectoria.
Puede que empecemos a orbitar juntos.
Andar juntos por un rato.

La curiosidad atrae.
La indiferencia repele."
Naturaleza,,FISICA,"Código","Antes eramos engranajes. 
y antes de eso. humores.
En algunos lados somos elementos.
En otros energías. 
Y en otros computadores.

El que controla el código. 
controla la vida."
Naturaleza,,CONECTAR,Conecta Bonito,"Entre más conexiones tengas es más
probable que hagas una nueva conexión.
Un proceso como tal genera distribuciones
con colas largas y leyes de potencia.

Algo como. muchas personas con 10 conexiones.
10 veces menos personas con 20 conexiones.
100 veces menos personas con 30 conexiones.
1000 veces menos con 40.
Así sucesivamente.
Muchos con pocas. pocos con muchas.

Cada uno de nosotros se encuentra en algún lugar de
esta ley. Y podemos desplazarnos a través de ella.
Es cuestión de que cada uno cree y abone
sus conexiones. Entre más tengas. es más probable 
que hagas nuevas.

Debemos tener en cuenta que no solo importa la
cantidad. pues si me abundan malas conexiones
puede que mi próxima conexión sea mala.
No necesito demasiadas.
Necesito suficientes. bonitas y poderosas.
Conecta bonito y te llegarán cosas bonitas."
Naturaleza,,CONECTAR,Me escogieron,"A uno lo escogen por algo.
Implica que de cierta manera soy responsable de ello.
Para que me escojan tengo que llamar la atención. 
Tengo que sobresalir.
Tengo que estar en el lugar indicado 
en el momento indicado. 
Conectado.

Se debe comunicar bien el mensaje 
y debe ser el mensaje indicado.
Que me escojan tiene mérito. "
Naturaleza,,CONECTAR,¿Quién cuenta?,"¡Que no nos cuenten la historia que tenemos
que contar! 
Si no somos nosotras 
las que contamos la historia. 
alguien más la va a contar. 
Quien cuenta tiene poder."
Naturaleza,,CONECTAR,Los que escuchan,"Es más fácil conectar con los que escuchan.
Y que ellos repliquen el mensaje.
No todo el mundo va a escuchar.
No todo el mundo va a entender.
Conecta con quien está dispuesto.
Toca a quien quiere ser tocado.
De uno en uno hacemos uno más grande. "
Naturaleza,,CONECTAR,"Mensaje","Para que un mensaje llegue primero hay que desarrollar confianza en uno mismo.
Para esto hay que creer. entender. y tener el mensaje claro. 
Luego viene la persistencia.

En un principio cada uno habla un idioma diferente. 
entiende. piensa. hace
y se relaciona diferente.
Si eres constante en tu mensaje.
crees en él.
y tienes confianza en ti.
conectas.

Al conectar. el mensaje se propaga. se multiplica. se reproduce. 
Al conectar. la confianza se propaga. se multiplica. se reproduce. 
Al conectar. crecemos. nos fortalecemos y multiplicamos."
Naturaleza,,CONECTAR,"Persuadir","Solo hay una forma para que alguien haga lo que yo
quiero. y es hacer que esa persona quiera hacerlo.

Esto se puede hacer de buena o de mala manera.
Si es de buena manera. lo más probable es que
esa persona también actúe de buena manera.

Haz que esa persona se sienta importante.
Apreciarla. contemplarla. admirarla. 
y hacer que esa persona se sienta bella. ayuda."
Naturaleza,,CONECTAR,No patees la colmena,"“Si quieres cosechar miel no patees la colmena”.

Si quieres un favor. no seas grosero. 
Si necesitas algo de alguien. sé amable.

Nuestras interacciones son negociaciones.
Ser amable ayuda a conseguir lo que queremos.
Tener el objetivo claro también.

Si por el contrario somos agresivos. insultamos.
decimos las cosas con mala actitud. 
estamos alejándonos de lo que queremos."
Naturaleza,,CONECTAR,"Mejor premiar que castigar","Las recompensas negativas no enseñan. 
Las positivas son más efectivas. 
Si quieres entrenar a alguien es mejor premiar lo está haciendo bien que castigar por hacer algo mal.

Las personas y las gatas tienen que estar motivadas. tienen que querer hacer. y hacer queriendo.

Si quieres que alguien haga las cosas de una manera. motívalo. muéstrale lo que hace bien. dile lo bien que hace. y si hay buena actitud. ha de pasar.

Es mejor premiar que castigar."
Naturaleza,,CONECTAR,Interacciones,"Existimos mediante nuestras interacciones.
Si no interactuamos seríamos una mente solitaria 
y sin sentido.
Aprendemos interactuando y así lo encontramos.
Una venta no puede existir sin un comprador
y un vendedor. 
Igual que un objeto no existe 
si no hay una observación.

Nuestras interacciones definen lo que somos.
son la base de nuestra existencia.
Si ellas son puras. nosotros somos puros; 
si son burdas. nosotros somos burdos. 
violentas. violentos.

Uno es las conversaciones que uno tiene. 
es el alimento que consume. las amistades que tiene.
Cada uno es libre de interactuar como desee.
Yo escojo con quién interactuo 
y de qué manera lo hago."
Naturaleza,,CONECTAR,Compartir la mente,"Conectar es compartir la mente.
Al interactuar me conecto 
y comparto un poco de mí. 
un poco de mi mente.
Y no son solo ideas. también emociones.

Somos lo que pensamos.
Lo interesante es que no somos solo un cerebro. 
somos mucho más. Somos mente.
Y esa mente está encarnada. tiene cuerpo. 
tiene sentidos. tiene sensaciones y emociones.

Pensamos con cerebro. 
pensamos con cuerpo. 
pensamos con emociones.
Conectar es compartir mi mente."
Naturaleza,,CONECTAR,Crear y compartir,"Uno no puede compartir lo que no tiene.
Si no lo tienes adentro. no lo puedes sacar.
Primero hay que tenerlo y después compartirlo.
Encontrarlo. construirlo. crear.
Puede estar adentro y no sabemos.
Puede no estar y lo creamos.
Puedes también traerlo de afuera.
Adentro y afuera es la misma cosa.

Si lo crees lo creas. ahora compártelo."
Naturaleza,,CONECTAR,Ser poeta,"Es decir lo que no se puede decir.
Es usar los sentidos.
Es invocar.
Es provocar y que cada uno interprete.
El pensamiento como palabras.
Las palabras como herramientas."
Naturaleza,,CONECTAR,Que un mensaje llegue,"Para que un mensaje llegue y tenga efecto 
debemos enfocarnos tanto en el canal 
como en su contenido.

Si el canal no es el adecuado. 
puede que el mensaje llegue a un lugar 
en donde las condiciones no sean adecuadas 
y no tenga efecto.
O simplemente no llegué.

Si el mensaje no es claro y contundente.
no va a tener un efecto.

El canal es importante.
Un mensaje claro es importante."
Naturaleza,,CONECTAR,¿Puedo dar esto como un regalo?,"Cuantificamos nuestras interacciones con dinero. 
Cuando interactuo contigo. recibo o doy una cantidad de algo que en realidad no existe. 
Y lo hacemos con personas jurídicas y naturales. No con otros seres. El árbol no me cobra cuando yo tomo su fruta o el oxígeno que produce. 

Cuando hago algo por ti. puedo ver esto de dos maneras: tener la actitud de dar un regalo o de interactuar para obtener un dinero.

Es de la naturaleza humana corresponder a los regalos. Somos altruistas. Si doy. me van a llegar regalos. Si recibo. voy a darlos.

Por el otro lado. cuando vendo. estoy poniendo un valor a mi interacción para obtener algo que no existe y tener acceso a otras interacciones. 
Sería bonito que usáramos menos el dinero y diéramos más regalos.

Antes de comprar pregúntate: ¿cómo puedo obtener esto sin dinero? Antes de vender pregúntate: ¿puedo dar esto como un regalo?"
Naturaleza,,CONECTAR,"Enlaces
","Cuando doy creo un enlace.
Este enlace puede ser fuerte o débil
dependiendo de mi intención al dar.
Hay diferentes formas de dar.

No es lo mismo regalar unos zapatos 
porque necesito espacio en el clóset 
o porque sentimos compasión 
con alguien que no tiene zapatos.
En el segundo caso el acto de dar 
nace del compartir. no de una necesidad.
Acá el enlace es más fuerte.

Toda interacción crea un enlace.
Todo enlace es conciencia.
Haz que tus enlaces sean más fuertes.
Haz que tu conciencia crezca."
Naturaleza,,CONECTAR,"Respirar","Respirar y vivir 
son actos voluntarios 
e involuntarios.

Si eres consciente. 
las controlas.
Si no. 
ellas pasan desapercibidas."
Naturaleza,,CONECTAR,Torre de babel,"El antropólogo escribe para el antropólogo.
El médico para el médico.
El ingeniero para el ingeniero.
El académico para el académico.
Y entre nosotros no hablamos.
Suena a Torre de Babel."
Naturaleza,,SER,"Vine a este mundo o vine de este mundo","Podemos ver nuestro papel frente al mundo con la actitud de “yo vine a este mundo” o “yo vine de este mundo”.

La primera tiene necesariamente otro mundo de donde vengo o que me crea. Y un creador. 
Siento un propósito más allá de este mundo.

La segunda mantiene el propósito y creador dentro de este mundo. 
El creador es el mismo mundo. yo. o el resultado de él. 
Soy parte de él. Soy él.

La Navaja de Occam es un principio que dice que “en igualdad de condiciones. la explicación más sencilla suele ser la más probable.”

¿Será necesario venir a algo? ¿Será necesario sentirse en deuda con algo? ¿A qué vine? ¿Importa?

Ya estoy acá en un mundo. 
Si quiero lo puedo apropiar y decir “mi mundo”. Independiente de mi origen. sería bueno cuidarlo. mejorarlo y agradecerle por ser mi hogar."
Naturaleza,,SER,Ver el mundo,"Cada mañana cuando te levantas de la cama puedes
ver un mundo maravilloso o un mundo terrible.
De la misma manera puedes cerrar los ojos 
y al abrirlos ver un mundo maravilloso. 
o un mundo terrible.

Tú puedes transformar el mundo en cualquier
instante y hay infinitos instantes en un día.

Si cerrar y abrir los ojos no te funciona.
los portales son una buena herramienta
para transformar el mundo.

Es tu decisión.
Tú escoges en qué mundo vives."
Naturaleza,,SER,Ser un bosque,"Entrar en un bosque es convertirse en bosque.
Es ser el bosque.
Cuando entro al bosque él me incluye.
soy parte de él
y me debería comportar como bosque.

¿Qué hace un bosque?
¿Cuál es el propósito de un bosque?

Si quiero comportarme como bosque 
debo aprender a ser bosque. 
escuchar y observarme como bosque."
Naturaleza,,SER,Juego de la mirada,"Ponte frente a alguien y mírense.
Ahora mírate en la otra persona.
Tú existes en esa mirada.
Tú existes en tu mirada.
La otra persona es tu construcción. 
es tu creación.
No somos independientes.
Existimos porque hay miradas.
Existimos porque hay otros.
Solos no podemos existir.
Es tu mirada la que crea a esa persona.
Tú existes en tu mirada."
Naturaleza,,SER,"Yo no quiero ser el mejor en nada","Competir cambia el juego.
Ser el mejor equipo de fútbol del mundo 
es un juego totalmente diferente a jugar fútbol.
Una cosa es jugar un partido; 
otra un campeonato.
Otra son los jugadores. lesiones. partidos.
campeonatos. patrocinadores. mercadeo. 
y lo que necesita un equipo para ser el mejor.

Ser el mejor es entrar en la competencia.
Decidir no querer ser el mejor. es jugar otro juego.
Algunos nacen para competir. otros se enseñan.
Algunos simplemente no quieren competir 
con los demás; tal vez sí. con ellos mismos.
Todas son estrategias válidas.

Ser el mejor no es necesariamente
a lo que tenemos que jugar.
Yo debo jugar mi propio juego. 
entender bien a qué estoy jugando.
Si se está haciendo con pasión. dando lo mejor de uno. no importa ser el mejor o no. "
Naturaleza,,SER,"No te subestimes","No te subestimes y no sobrestimes al resto del mundo.

Todos tenemos debilidades. 
Cuando miramos a nuestros ídolos vemos superhéroes. seres infalibles. muy fuertes e inteligentes. 
Esto es porque ellos generalmente no muestran sus debilidades. 
Venden y comparten sus historias para mostrar su éxito.

Nosotros podemos hacer lo mismo. 
Vernos como superhéroes. 
Ponerle más atención a nuestros logros. 
Entender que todo el mundo tiene conflictos. debilidades y embarradas."
Naturaleza,,SER,Dónde estar,"Debo estar donde hay alimento.
En un lugar donde se me facilite tener conversaciones
enriquecedoras. mantenerme curioso. e interesante.
En donde pueda estar en constante aprendizaje.
Esto puede ser en Harvard.
en un bosque. o en el café de la esquina.

Para ser exitoso no necesito una gran universidad. 
Necesito conectarme.
mantenerme curioso e interesado."
Naturaleza,,SER,"Unión","La unión hace que yo exista. 
porque solo no puedo existir. 
Yo te hago y tú me haces.
Te reconozco.
Para ver. alguien tiene que ser visto.
Para tocar. alguien tiene que ser tocado.
Para crear. alguien tiene que ser creado.

Unión es formalizar mi existencia.
Yo existo para alguien y alguien existe para mí.
La unión crea un nuevo mundo. 
conecta fuerzas creadoras 
con infinitas posibilidades. 
da sentido.

Es que el vacío no existe sin el lleno. 
el blanco sin el negro y el Happy sin el Lora.
Unirse es inventar. es posibilidad. es oportunidad.
es unir la fuerza. es complementarla.
Es ceder un poco de control
a cambio de incertidumbre.
Y llenar la vida de asombro.
Celebremos la unión."
Naturaleza,,SER,"Escuchar","Lo interesante es lo que no está escrito.
es lo que no está en las instrucciones.
lo que no está en el instrumento.
Experimentamos con cuerpo y mente.
Y cada uno interpreta según su estado
y su disposición.
Para todos no es igual.

Creamos la realidad con nuestras observaciones.
y nuestras interpretaciones.
Hay que dar tiempo para escuchar.
y dar tiempo para interpretar.
procesar y entender.

Solo si nos abrimos 
y dejamos que nuestro cuerpo resuene. 
que la experiencia entre por todos los sentidos 
y que se procese. 
vamos a ver más allá."
Naturaleza,,SER,"Al contar nos dividimos","Al contar nos dividimos.
Al contar perdemos la unidad.
Pasamos del uno al muchos.
Ya no somos uno. 
ahora somos diferente.
Empezamos a ver detalles 
y dejamos de ver la esencia.
Nos alejamos.

Contemos menos. conectemos más."
Naturaleza,,SER,"Silencio","Silencio es oír más cosas. 
es ampliar los sentidos. 
es estar con uno mismo. 
más sensible.
más conectado."
Naturaleza,,SER,Conversar,"En muchas de nuestras conversaciones
hablamos sobre lo que yo quiero hablar.
Dirigimos la conversación 
hacia lo que a mí me interesa.

Es bueno preguntarse al arrancar. 
y durante cada conversación:
¿de qué quiere hablar la otra persona?
Y si no es obvio le podemos preguntar.

Si cada uno habla solo de lo que le importa
no vamos a llegar a ningún acuerdo."
Naturaleza,,SER,Aumentar inteligencia,"La inteligencia de una persona aumenta
cuando le das confianza. 
libertad 
y responsabilidades.

Aplica para ti 
y aplica para tu equipo de trabajo."
Naturaleza,,SER,Conectarse,"Conectarse es una necesidad.
Me conecto con personas. organizaciones.
sistemas y objetos que son parte de mi vida.
Algunos tienen intereses similares.
Otros me ayudan en mi propósito.
Conectarse es interactuar.

Mi computador y mi teléfono 
ahora son parte de mí 
y me obligan a interactuar con el sistema eléctrico 
y con la Internet.
Hoy necesito recargar mis baterías. un cable y wifi
para conectarme con la Internet y así interactuar.
Debo encontrar estos recursos. 
pues ellos me ayudan con mi propósito.

Con las personas me conecto 
a través de las emociones y los sentidos.
Hacerlo bien es un arte.
Se necesita el cable adecuado.
la historia. el lenguaje.
y estar en el lugar y momento indicado."
Naturaleza,,SER,Amigo,"Que todo el mundo sea tu amigo
es una gran estrategia. 
Un amigo te ayuda.
te entiende. te escucha.
es altruista.

Los enemigos generan odio. rabia. frustración.
envidia. miedo. desconfianza 
y llevan muchas veces a la violencia. 
destrucción. guerras y batallas.

Entre enemigo y amigo hay otras posibilidades.
en las que muchas veces hay indiferencia 
y relaciones incómodas. 
donde uno de los dos usa al otro.

Yo puedo ser amigo de la rata. la culebra. la piraña.
Tengo que entenderlos.
desarrollar la compasión y conectar.
Entender que somos uno.
Ambos participamos de un mismo sistema.

Entre amigos es gana-gana."
Naturaleza,,SER,Los peces mueven el agua,"En un principio la luna y el planeta movían el agua.
Ese movimiento creó seres unicelulares.
que a su vez movieron el agua.
De este movimiento salieron seres multicelulares. 
y luego pescados.

Ahora los peces mueven el agua.
El movimiento es energía.
El movimiento es vida.
No dejemos que el agua se estanque.
No la represemos.
El agua debe fluir."
Naturaleza,,SER,Creer que el mundo puede ser mejor,"Para hacer un cambio hay que creer 
que el mundo puede ser mejor.
Cuando perdemos la esperanza
es que nos estancamos.

El mundo puede ser mejor: 
hagamos el mundo mejor."
Naturaleza,,SER,Los instantes,"Valoramos nuestros días. horas y minutos.
Los instantes ni los miramos.
Tenemos 24 horas
o 1440 minutos en un día.
365 días en un año.

Están contados. pasan. se agotan.
Cada minuto vale. porque pronto ya no está.
En cambio. los instantes siempre están.
Son infinitos.
Son gratis.
Son ya.

¿Qué tal si dejamos de contar los días.
los minutos y las horas 
y más bien nos enfocamos 
en apreciar cada instante?"
Naturaleza,,TIEMPO,"Segregar","Interactuamos con lo que tenemos a nuestro alcance.
Si a nuestro alrededor 
solo tenemos cosas que nos perjudican. 
vamos a conectar con eso 
y. por lo tanto. ser eso.
Si por el contrario conectamos con oportunidades.
propósitos. amor. abundancia. 
vamos a ser todo eso.

Lo que nos lleva a la trampa de la segregación.
Rechazar lo que no nos gusta 
o no interactuar con quienes no piensan tan bonito. 
solo desconecta.

Debemos propagar buenos pensamientos.
Sobretodo a quien más lo necesita.
Deseemos amor.
Irradiemos felicidad.
Pensemos bonito."
Naturaleza,,TIEMPO,Reloj,"Un reloj sirve para dos cosas.
Te dice que ya casi tienes que cambiar de actividad.
Y tienes que apurarte.
O que deberías estar haciendo otra cosa. 
Se te acabó el tiempo.

Te saca del momento.
Sugiere cambio.
Es una herramienta útil y delicada."
Naturaleza,,TIEMPO,"Mi tiempo no es tu tiempo","Mi tiempo no es tu tiempo.
Yo lo experimento y tú lo experimentas.
Es una experiencia subjetiva.

Lo inventamos para sincronizarnos. 
y siempre nos vamos a estar desincronizando 
porque nos movemos unos respecto a otros. 
nos movemos diferente.

Tiempo es lo que un reloj mide 
según la velocidad en que la se mueve. 
no las manecillas. sino el brazo que lo carga 
o la pared donde está empotrado.
Es relativo.

Mide lo que se demora un planeta en dar la vuelta.
y esto depende desde dónde tú lo mires.
Si estoy afuera o estoy adentro. 
de pronto orbitando.
El tiempo cambia."
Naturaleza,,TIEMPO,El futuro ya está aquí,"“The future is already here. it’s just not very evenly distributed.” - William Gibson

El futuro ya está aquí. solo que no está distribuido muy equitativamente.

A cada rato me encuentro seres. ideas. iniciativas. aparatos del futuro. veo el futuro o estoy en él. 
A veces voy al pasado también.

Es fácil encontrar algo que no esperabamos. algo que soñábamos y no pensamos factible. 
O algo lo suficientemente avanzado para ser magia.

El futuro. eso que esperamos. en algún lugar ya existe. Llegar al futuro es moverse a un sitio nuevo y estar pendiente de eso mágico que antes no existía."
Naturaleza,,TIEMPO,"Ir de afán","Si vas de afán no mires el reloj.
Hacerlo es tomar una medición.
Mientras no lo hagas siempre existirá
la posibilidad de llegar a tiempo.

La explicación de la mecánica cuántica es
que. mientras no se haga una medición. la
realidad es una función de probabilidad.
Quiere decir que existe un número infinito de
posibilidades y entre ellas está llegar a tiempo.
En el momento en el que hago la medición esta
función de probabilidad colapsa en un solo punto.
reduciendo el espectro de posibilidades.

Mi abuelita decía: “despacio que voy de afán”.
Si estoy afanado pierdo la calma y esto tiene 
dos efectos. Por un lado hace que cometa errores 
y me demoro más. Por el otro. el tiempo pasa más 
rápido. El tiempo es relativo y depende de la 
velocidad en que me mueva y del afán que lleve.

Entre más tranquilo esté. el tiempo pasa más
despacio y cometo menos errores. Si no sé qué hora
es siempre existe la posibilidad de llegar a tiempo."
Naturaleza,,TIEMPO,Afán,"Sin afán puedes tomarte tu tiempo. salir de la rutina. apreciar más y mejor. asombrarte. puedes tomar una ruta diferente. darle tiempo a los problemas. ensayar. improvisar. jugar. Dilatas el tiempo y cometes menos errores.

No tener afán es un arte. Algunos consejos:
Hackea el tiempo.
No mires el reloj.
Sal una hora antes. no de la hora de llegada. sino de la hora en que hubieras salido normalmente.
Levántate más temprano.
Deja la reunionitis.
Hoy en día casi todo se puede hacer virtual.
Calcula que todo compromiso se demora el doble de tiempo.
Desaparece. o hazte invisible
Aíslate de vez en cuando.
Cancela todo lo que no sea Hell Yeah!

La vida es mejor vivirla sin afanes."
Naturaleza,,TIEMPO,Prepararse,"En el jardín infantil nos preparan para la primaria. 
En la primaria para el bachillerato.
En el bachillerato para la universidad.
En la universidad para el trabajo. o un postgrado.
En el trabajo para otro mejor trabajo. y
eventualmente para nuestro retiro. 
Cuando llegamos al retiro estamos cansados.

¿No sería mejor dejar de prepararnos
y más bien vivir la vida?

Estamos siempre pensando en el futuro.
en que tengo que aprender las reglas de un
juego. que en algún momento voy a jugar.
No entendemos que ya estamos en un juego.
Que el momento tiene unas reglas 
y que es ahora cuando tenemos que jugar.
Preparémonos para vivir el ahora. no el mañana."
Naturaleza,,TIEMPO,Diseñar tu día,"El tiempo y la atención son los recursos
más importantes que tenemos.

El proceso de diseño nos sirve para mejorar el
manejo de nuestro tiempo. 
Diseñar tu día es ir más allá que planearlo. 
Requiere ideación. ensayos. realimentación. 
Iterar e iterar.

Nunca llegaremos al día perfecto. 
si estaremos avanzando. mejorando. 
y seguramente yendo hacia algún lado."
Naturaleza,,TIEMPO,Un día,"Tiene 1440 minutos. 
86400 segundos.
Un día tiene infinito instantes. 

de los cuales dormimos
480 minutos. 
28800 segundos. 
e infinito instantes.

Estoy despierto 57600 segundos. 
960 minutos.
e infinito instantes.

Y a veces no hacemos nada en un día."
Naturaleza,,TIEMPO,Cinco minutos,"“Si no tienes 5 minutos no tienes vida”.

Date hoy 5 minutos. 
Pon un timer y date tiempo. 
¿Para qué? Para ti.

Repite durante una semana.
Y la siguiente semana date 10 minutos. 
Algún día date el día. Busca un espacio para ti. 
Si no es fácil. finge una reunión y ponlo en la agenda.

Es importante tener tiempo para uno."
